Key,Desc,table
820,Private nonfarm employment: Business services,SAEMP25S
410,Private nonfarm employment: Durable goods manufacturing,SAEMP25S
60,Nonfarm proprietors employment,SAEMP25S
820,Private nonfarm employment: Business services (73),SAEMP25S
825,"Private nonfarm employment: Automotive repair, services, and parking (75)",SAEMP25S
410,Private nonfarm employment: Durable goods manufacturing,SAEMP25S
845,Private nonfarm employment: Health services,SAEMP25S
626,Private nonfarm employment: Home furniture and furnishings stores,SAEMP25S
734,Private nonfarm employment: Real estate,SAEMP25S
626,Private nonfarm employment: Home furniture and furnishings stores (57),SAEMP25S
865,"Private nonfarm employment: Museums, botanical, zoological gardens (84)",SAEMP25S
122,Private nonfarm employment: Fishing,SAEMP25S
731,Private nonfarm employment: Security and commodity brokers,SAEMP25S
730,"Private nonfarm employment: Other finance, insurance, and real estate",SAEMP25S
730,"Private nonfarm employment: Other finance, insurance, and real estate (62-65,67)",SAEMP25S
865,"Private nonfarm employment: Museums, botanical, zoological gardens",SAEMP25S
731,Private nonfarm employment: Security and commodity brokers (62),SAEMP25S
423,Private nonfarm employment: Primary metal industries (33),SAEMP25S
930,Govt. and govt. enterprises employment: State and local,SAEMP25S
860,Private nonfarm employment: Social services (83),SAEMP25S
240,"Private nonfarm employment: Nonmetallic minerals, except fuels (14)",SAEMP25S
710,Private nonfarm employment: Depository and nondepository institutions,SAEMP25S
710,"Private nonfarm employment: Depository and nondepository institutions (60,61)",SAEMP25S
330,Private nonfarm employment: Special trade contractors (17),SAEMP25S
920,Govt. and govt. enterprises employment: Military,SAEMP25S
930,Govt. and govt. enterprises employment: State and local,SAEMP25S
120,Private nonfarm employment: Forestry and fishing,SAEMP25S
736,Private nonfarm employment: Holding and other investment offices,SAEMP25S
734,Private nonfarm employment: Real estate (65),SAEMP25S
920,Govt. and govt. enterprises employment: Military,SAEMP25S
735,"Private nonfarm employment: Combined real estate, insurance, etc.",SAEMP25S
735,"Private nonfarm employment: Combined real estate, insurance, etc.",SAEMP25S
733,"Private nonfarm employment: Insurance agents, brokers, and services (64)",SAEMP25S
121,Private nonfarm employment: Forestry (08),SAEMP25S
122,Private nonfarm employment: Fishing,SAEMP25S
120,Private nonfarm employment: Forestry and fishing,SAEMP25S
733,"Private nonfarm employment: Insurance agents, brokers, and services",SAEMP25S
910,Govt. and govt. enterprises employment: Federal civilian,SAEMP25S
121,Private nonfarm employment: Forestry,SAEMP25S
736,Private nonfarm employment: Holding and other investment offices (67),SAEMP25S
732,Private nonfarm employment: Insurance carriers,SAEMP25S
732,Private nonfarm employment: Insurance carriers (63),SAEMP25S
910,Govt. and govt. enterprises employment: Federal civilian,SAEMP25S
110,Private nonfarm employment: Agricultural services (07),SAEMP25S
860,Private nonfarm employment: Social services,SAEMP25S
855,Private nonfarm employment: Educational services (82),SAEMP25S
70,Farm employment,SAEMP25S
870,Private nonfarm employment: Membership organizations,SAEMP25S
805,Private nonfarm employment: Hotels and other lodging places,SAEMP25S
875,Private nonfarm employment: Engineering and management services,SAEMP25S
931,Govt. and govt. enterprises employment: State government,SAEMP25S
875,Private nonfarm employment: Engineering and management services (87),SAEMP25S
870,Private nonfarm employment: Membership organizations (86),SAEMP25S
880,Private nonfarm employment: Miscellaneous services,SAEMP25S
880,Private nonfarm employment: Miscellaneous services (89),SAEMP25S
805,Private nonfarm employment: Hotels and other lodging places (70),SAEMP25S
628,Private nonfarm employment: Miscellaneous retail (59),SAEMP25S
628,Private nonfarm employment: Miscellaneous retail,SAEMP25S
627,Private nonfarm employment: Eating and drinking places,SAEMP25S
627,Private nonfarm employment: Eating and drinking places (58),SAEMP25S
850,Private nonfarm employment: Legal services,SAEMP25S
40,Proprietors employment,SAEMP25S
300,Private nonfarm employment: Construction (C),SAEMP25S
700,"Private nonfarm employment: Finance, insurance, and real estate (H)",SAEMP25S
240,"Private nonfarm employment: Nonmetallic minerals, except fuels",SAEMP25S
80,Nonfarm employment,SAEMP25S
80,Nonfarm employment,SAEMP25S
40,Proprietors employment,SAEMP25S
800,Private nonfarm employment: Services (I),SAEMP25S
855,Private nonfarm employment: Educational services,SAEMP25S
310,Private nonfarm employment: General building contractors,SAEMP25S
400,Private nonfarm employment: Manufacturing,SAEMP25S
400,Private nonfarm employment: Manufacturing (D),SAEMP25S
800,Private nonfarm employment: Services,SAEMP25S
320,Private nonfarm employment: Heavy construction contractors (16),SAEMP25S
700,"Private nonfarm employment: Finance, insurance, and real estate",SAEMP25S
320,Private nonfarm employment: Heavy construction contractors,SAEMP25S
310,Private nonfarm employment: General building contractors (15),SAEMP25S
330,Private nonfarm employment: Special trade contractors,SAEMP25S
90,Private nonfarm employment,SAEMP25S
465,Private nonfarm employment: Paper and allied products (26),SAEMP25S
447,Private nonfarm employment: Ordnance,SAEMP25S
520,Private nonfarm employment: Trucking and warehousing (42),SAEMP25S
432,Private nonfarm employment: Electronic and other electric equipment (36),SAEMP25S
477,Private nonfarm employment: Rubber and miscellaneous plastics products,SAEMP25S
450,Private nonfarm employment: Nondurable goods manufacturing,SAEMP25S
423,Private nonfarm employment: Primary metal industries,SAEMP25S
510,Private nonfarm employment: Railroad transportation (40),SAEMP25S
541,Private nonfarm employment: Local and interurban passenger transit,SAEMP25S
474,Private nonfarm employment: Petroleum and coal products,SAEMP25S
450,Private nonfarm employment: Nondurable goods manufacturing,SAEMP25S
210,Private nonfarm employment: Metal mining (10),SAEMP25S
220,Private nonfarm employment: Coal mining (12),SAEMP25S
444,Private nonfarm employment: Miscellaneous manufacturing industries,SAEMP25S
10,Total employment,SAEMP25S
474,Private nonfarm employment: Petroleum and coal products (29),SAEMP25S
542,Private nonfarm employment: Transportation by air,SAEMP25S
435,Private nonfarm employment: Motor vehicles and equipment (371),SAEMP25S
453,Private nonfarm employment: Food and kindred products (20),SAEMP25S
477,Private nonfarm employment: Rubber and miscellaneous plastics products (30),SAEMP25S
447,Private nonfarm employment: Ordnance,SAEMP25S
541,Private nonfarm employment: Local and interurban passenger transit (41),SAEMP25S
480,Private nonfarm employment: Leather and leather products,SAEMP25S
510,Private nonfarm employment: Railroad transportation,SAEMP25S
200,Private nonfarm employment: Mining (B),SAEMP25S
500,Private nonfarm employment: Transportation and public utilities (E),SAEMP25S
200,Private nonfarm employment: Mining,SAEMP25S
10,Total employment,SAEMP25S
500,Private nonfarm employment: Transportation and public utilities,SAEMP25S
50,Farm proprietors employment,SAEMP25S
900,Employment: Government and government enterprises,SAEMP25S
542,Private nonfarm employment: Transportation by air (45),SAEMP25S
20,Wage and salary employment,SAEMP25S
429,Private nonfarm employment: Industrial machinery and equipment (35),SAEMP25S
426,Private nonfarm employment: Fabricated metal products (34),SAEMP25S
20,Wage and salary employment,SAEMP25S
480,Private nonfarm employment: Leather and leather products (31),SAEMP25S
432,Private nonfarm employment: Electronic and other electric equipment,SAEMP25S
540,Private nonfarm employment: Other transportation,SAEMP25S
520,Private nonfarm employment: Trucking and warehousing,SAEMP25S
540,"Private nonfarm employment: Other transportation (41,45-47)",SAEMP25S
50,Farm proprietors employment,SAEMP25S
444,Private nonfarm employment: Miscellaneous manufacturing industries (39),SAEMP25S
429,Private nonfarm employment: Industrial machinery and equipment,SAEMP25S
459,Private nonfarm employment: Textile mill products,SAEMP25S
530,Private nonfarm employment: Water transportation,SAEMP25S
900,Employment: Government and government enterprises,SAEMP25S
560,Private nonfarm employment: Communications,SAEMP25S
220,Private nonfarm employment: Coal mining,SAEMP25S
426,Private nonfarm employment: Fabricated metal products,SAEMP25S
459,Private nonfarm employment: Textile mill products (22),SAEMP25S
530,Private nonfarm employment: Water transportation (44),SAEMP25S
441,Private nonfarm employment: Instruments and related products,SAEMP25S
560,Private nonfarm employment: Communications (48),SAEMP25S
468,Private nonfarm employment: Printing and publishing,SAEMP25S
453,Private nonfarm employment: Food and kindred products,SAEMP25S
570,"Private nonfarm employment: Electric, gas, and sanitary services",SAEMP25S
570,"Private nonfarm employment: Electric, gas, and sanitary services (49)",SAEMP25S
468,Private nonfarm employment: Printing and publishing (27),SAEMP25S
462,Private nonfarm employment: Apparel and other textile products,SAEMP25S
456,Private nonfarm employment: Tobacco products,SAEMP25S
456,Private nonfarm employment: Tobacco products (21),SAEMP25S
543,"Private nonfarm employment: Pipelines, except natural gas",SAEMP25S
544,Private nonfarm employment: Transportation services (47),SAEMP25S
462,Private nonfarm employment: Apparel and other textile products (23),SAEMP25S
543,"Private nonfarm employment: Pipelines, except natural gas (46)",SAEMP25S
438,Private nonfarm employment: Other transportation equipment (372-379),SAEMP25S
465,Private nonfarm employment: Paper and allied products,SAEMP25S
441,Private nonfarm employment: Instruments and related products (38),SAEMP25S
210,Private nonfarm employment: Metal mining,SAEMP25S
544,Private nonfarm employment: Transportation services,SAEMP25S
438,Private nonfarm employment: Other transportation equipment,SAEMP25S
471,Private nonfarm employment: Chemicals and allied products,SAEMP25S
471,Private nonfarm employment: Chemicals and allied products (28),SAEMP25S
435,Private nonfarm employment: Motor vehicles and equipment,SAEMP25S
70,Farm employment ([01-02]),SAEMP25S] Farm employment ([01-02
100,"Private nonfarm employment: Agricultural services, forestry, and fishing ([07-09])","SAEMP25S] Private nonfarm employment: Agricultural services, forestry, and fishing ([07-09"
513,Private nonfarm wage and salary employment: Primary metal manufacturing (331),SAEMP27N
511,Private nonfarm wage and salary employment: Wood product manufacturing,SAEMP27N
706,Private nonfarm wage and salary employment: Health and personal care stores (446),SAEMP27N
515,Private nonfarm wage and salary employment: Machinery manufacturing (333),SAEMP27N
1300,Private nonfarm wage and salary employment: Management of companies and enterprises (55),SAEMP27N
514,Private nonfarm wage and salary employment: Fabricated metal product manufacturing (332),SAEMP27N
1200,"Private nonfarm wage and salary employment: Professional, scientific, and technical services",SAEMP27N
514,Private nonfarm wage and salary employment: Fabricated metal product manufacturing,SAEMP27N
512,Private nonfarm wage and salary employment: Nonmetallic mineral product manufacturing,SAEMP27N
1003,"Private nonfarm wage and salary employment: Securities, commodity contracts, and other financial investments and related activities (523)",SAEMP27N
20,Wage and salary employment by place of work,SAEMP27N
513,Private nonfarm wage and salary employment: Primary metal manufacturing,SAEMP27N
1200,"Private nonfarm wage and salary employment: Professional, scientific, and technical services (54)",SAEMP27N
515,Private nonfarm wage and salary employment: Machinery manufacturing,SAEMP27N
512,Private nonfarm wage and salary employment: Nonmetallic mineral product manufacturing (327),SAEMP27N
200,"Private nonfarm wage and salary employment: Mining, quarrying, and oil and gas extraction",SAEMP27N
510,"Private nonfarm wage and salary employment: Durable goods manufacturing (321,327-339)",SAEMP27N
511,Private nonfarm wage and salary employment: Wood product manufacturing (321),SAEMP27N
708,Private nonfarm wage and salary employment: Clothing and clothing accessories stores (448),SAEMP27N
516,Private nonfarm wage and salary employment: Computer and electronic product manufacturing (334),SAEMP27N
901,Private nonfarm wage and salary employment: Publishing industries (except Internet) (511),SAEMP27N
709,"Private nonfarm wage and salary employment: Sporting goods, hobby, musical instrument, and book stores (451)",SAEMP27N
907,Private nonfarm wage and salary employment: Other information services (519),SAEMP27N
902,Private nonfarm wage and salary employment: Motion picture and sound recording industries (512),SAEMP27N
709,"Private nonfarm wage and salary employment: Sporting goods, hobby, musical instrument, and book stores",SAEMP27N
708,Private nonfarm wage and salary employment: Clothing and clothing accessories stores,SAEMP27N
1002,Private nonfarm wage and salary employment: Credit intermediation and related activities,SAEMP27N
521,Private nonfarm wage and salary employment: Furniture and related product manufacturing,SAEMP27N
521,Private nonfarm wage and salary employment: Furniture and related product manufacturing (337),SAEMP27N
711,Private nonfarm wage and salary employment: General merchandise stores (452),SAEMP27N
1300,Private nonfarm wage and salary employment: Management of companies and enterprises,SAEMP27N
707,Private nonfarm wage and salary employment: Gasoline stations,SAEMP27N
712,Private nonfarm wage and salary employment: Miscellaneous store retailers (453),SAEMP27N
712,Private nonfarm wage and salary employment: Miscellaneous store retailers,SAEMP27N
713,Private nonfarm wage and salary employment: Nonstore retailers,SAEMP27N
713,Private nonfarm wage and salary employment: Nonstore retailers (454),SAEMP27N
1003,"Private nonfarm wage and salary employment: Securities, commodity contracts, and other financial investments and related activities",SAEMP27N
707,Private nonfarm wage and salary employment: Gasoline stations (447),SAEMP27N
519,Private nonfarm wage and salary employment: Other transportation equipment manufacturing,SAEMP27N
519,"Private nonfarm wage and salary employment: Other transportation equipment manufacturing (3364-3466,3369)",SAEMP27N
522,Private nonfarm wage and salary employment: Miscellaneous manufacturing,SAEMP27N
518,"Private nonfarm wage and salary employment: Motor vehicles, bodies and trailers, and parts manufacturing (3361-3363)",SAEMP27N
518,"Private nonfarm wage and salary employment: Motor vehicles, bodies and trailers, and parts manufacturing",SAEMP27N
517,"Private nonfarm wage and salary employment: Electrical equipment, appliance, and component manufacturing",SAEMP27N
1002,Private nonfarm wage and salary employment: Credit intermediation and related activities (522),SAEMP27N
20,Wage and salary employment by place of work,SAEMP27N
517,"Private nonfarm wage and salary employment: Electrical equipment, appliance, and component manufacturing (335)",SAEMP27N
516,Private nonfarm wage and salary employment: Computer and electronic product manufacturing,SAEMP27N
90,Private nonfarm wage and salary employment (113-814),SAEMP27N
2001,Govt. and govt. enterprises wage and salary employment: Federal civilian,SAEMP27N
510,Private nonfarm wage and salary employment: Durable goods manufacturing,SAEMP27N
807,Private nonfarm wage and salary employment: Scenic and sightseeing transportation (487),SAEMP27N
2011,Govt. and govt. enterprises wage and salary employment: State government,SAEMP27N
807,Private nonfarm wage and salary employment: Scenic and sightseeing transportation,SAEMP27N
806,Private nonfarm wage and salary employment: Pipeline transportation,SAEMP27N
906,"Private nonfarm wage and salary employment: Data processing, hosting, and related services (518)",SAEMP27N
1100,Private nonfarm wage and salary employment: Real estate and rental and leasing (53),SAEMP27N
806,Private nonfarm wage and salary employment: Pipeline transportation (486),SAEMP27N
2011,Govt. and govt. enterprises wage and salary employment: State government,SAEMP27N
1100,Private nonfarm wage and salary employment: Real estate and rental and leasing,SAEMP27N
805,Private nonfarm wage and salary employment: Transit and ground passenger transportation (485),SAEMP27N
1101,Private nonfarm wage and salary employment: Real estate,SAEMP27N
1101,Private nonfarm wage and salary employment: Real estate (531),SAEMP27N
805,Private nonfarm wage and salary employment: Transit and ground passenger transportation,SAEMP27N
2010,Govt. and govt. enterprises wage and salary employment: State and local,SAEMP27N
1102,Private nonfarm wage and salary employment: Rental and leasing services (532),SAEMP27N
808,Private nonfarm wage and salary employment: Support activities for transportation (488),SAEMP27N
1102,Private nonfarm wage and salary employment: Rental and leasing services,SAEMP27N
808,Private nonfarm wage and salary employment: Support activities for transportation,SAEMP27N
300,Private nonfarm wage and salary employment: Utilities,SAEMP27N
102,"Private nonfarm wage and salary employment: Fishing, hunting and trapping (114)",SAEMP27N
103,Private nonfarm wage and salary employment: Support activities for agriculture and forestry (115),SAEMP27N
203,Private nonfarm wage and salary employment: Support activities for mining (213),SAEMP27N
103,Private nonfarm wage and salary employment: Support activities for agriculture and forestry,SAEMP27N
203,Private nonfarm wage and salary employment: Support activities for mining,SAEMP27N
202,Private nonfarm wage and salary employment: Mining (except oil and gas),SAEMP27N
102,"Private nonfarm wage and salary employment: Fishing, hunting and trapping",SAEMP27N
906,"Private nonfarm wage and salary employment: Data processing, hosting, and related services",SAEMP27N
202,Private nonfarm wage and salary employment: Mining (except oil and gas) (212),SAEMP27N
811,Private nonfarm wage and salary employment: Warehousing and storage,SAEMP27N
811,Private nonfarm wage and salary employment: Warehousing and storage (493),SAEMP27N
2012,Govt. and govt. enterprises wage and salary employment: Local government,SAEMP27N
101,Private nonfarm wage and salary employment: Forestry and logging,SAEMP27N
809,Private nonfarm wage and salary employment: Couriers and messengers (492),SAEMP27N
2012,Govt. and govt. enterprises wage and salary employment: Local government,SAEMP27N
809,Private nonfarm wage and salary employment: Couriers and messengers,SAEMP27N
804,Private nonfarm wage and salary employment: Truck transportation,SAEMP27N
2010,Govt. and govt. enterprises wage and salary employment: State and local,SAEMP27N
1103,Private nonfarm wage and salary employment: Lessors of nonfinancial intangible assets (except copyrighted works),SAEMP27N
903,Private nonfarm wage and salary employment: Broadcasting (except Internet) (515),SAEMP27N
800,Private nonfarm wage and salary employment: Transportation and warehousing (48-49),SAEMP27N
2000,Wage and salary employment: Government and government enterprises,SAEMP27N
903,Private nonfarm wage and salary employment: Broadcasting (except Internet),SAEMP27N
101,Private nonfarm wage and salary employment: Forestry and logging (113),SAEMP27N
80,Nonfarm wage and salary employment,SAEMP27N
2000,Wage and salary employment: Government and government enterprises,SAEMP27N
80,Nonfarm wage and salary employment,SAEMP27N
500,Private nonfarm wage and salary employment: Manufacturing,SAEMP27N
1005,"Private nonfarm wage and salary employment: Funds, trusts, and other financial vehicles (525)",SAEMP27N
902,Private nonfarm wage and salary employment: Motion picture and sound recording industries,SAEMP27N
1005,"Private nonfarm wage and salary employment: Funds, trusts, and other financial vehicles",SAEMP27N
500,Private nonfarm wage and salary employment: Manufacturing (31-33),SAEMP27N
200,"Private nonfarm wage and salary employment: Mining, quarrying, and oil and gas extraction (21)",SAEMP27N
1004,Private nonfarm wage and salary employment: Insurance carriers and related activities,SAEMP27N
706,Private nonfarm wage and salary employment: Health and personal care stores,SAEMP27N
904,Private nonfarm wage and salary employment: Internet publishing and broadcasting (516),SAEMP27N
800,Private nonfarm wage and salary employment: Transportation and warehousing,SAEMP27N
2001,Govt. and govt. enterprises wage and salary employment: Federal civilian,SAEMP27N
300,Private nonfarm wage and salary employment: Utilities (22),SAEMP27N
804,Private nonfarm wage and salary employment: Truck transportation (484),SAEMP27N
1103,Private nonfarm wage and salary employment: Lessors of nonfinancial intangible assets (except copyrighted works) (533),SAEMP27N
201,Private nonfarm wage and salary employment: Oil and gas extraction,SAEMP27N
803,Private nonfarm wage and salary employment: Water transportation (483),SAEMP27N
905,Private nonfarm wage and salary employment: Telecommunications (517),SAEMP27N
803,Private nonfarm wage and salary employment: Water transportation,SAEMP27N
1004,Private nonfarm wage and salary employment: Insurance carriers and related activities (524),SAEMP27N
802,Private nonfarm wage and salary employment: Rail transportation,SAEMP27N
802,Private nonfarm wage and salary employment: Rail transportation (482),SAEMP27N
2002,Govt. and govt. enterprises wage and salary employment: Military,SAEMP27N
801,Private nonfarm wage and salary employment: Air transportation (481),SAEMP27N
905,Private nonfarm wage and salary employment: Telecommunications,SAEMP27N
2002,Govt. and govt. enterprises wage and salary employment: Military,SAEMP27N
801,Private nonfarm wage and salary employment: Air transportation,SAEMP27N
904,Private nonfarm wage and salary employment: Internet publishing and broadcasting,SAEMP27N
201,Private nonfarm wage and salary employment: Oil and gas extraction (211),SAEMP27N
522,Private nonfarm wage and salary employment: Miscellaneous manufacturing (339),SAEMP27N
711,Private nonfarm wage and salary employment: General merchandise stores,SAEMP27N
907,Private nonfarm wage and salary employment: Other information services,SAEMP27N
539,Private nonfarm wage and salary employment: Petroleum and coal products manufacturing (324),SAEMP27N
538,Private nonfarm wage and salary employment: Printing and related support activities (323),SAEMP27N
1600,Private nonfarm wage and salary employment: Health care and social assistance (62),SAEMP27N
538,Private nonfarm wage and salary employment: Printing and related support activities,SAEMP27N
705,Private nonfarm wage and salary employment: Food and beverage stores,SAEMP27N
537,Private nonfarm wage and salary employment: Paper manufacturing (322),SAEMP27N
536,Private nonfarm wage and salary employment: Leather and allied product manufacturing (316),SAEMP27N
900,Private nonfarm wage and salary employment: Information,SAEMP27N
536,Private nonfarm wage and salary employment: Leather and allied product manufacturing,SAEMP27N
1900,Private nonfarm wage and salary employment: Other services (except government and government enterprises) (81),SAEMP27N
1500,Private nonfarm wage and salary employment: Educational services (61),SAEMP27N
535,Private nonfarm wage and salary employment: Apparel manufacturing,SAEMP27N
403,Private nonfarm wage and salary employment: Specialty trade contractors (238),SAEMP27N
100,"Private nonfarm wage and salary employment: Forestry, fishing, and related activities (113-115)",SAEMP27N
1500,Private nonfarm wage and salary employment: Educational services,SAEMP27N
535,Private nonfarm wage and salary employment: Apparel manufacturing (315),SAEMP27N
1900,Private nonfarm wage and salary employment: Other services (except government and government enterprises),SAEMP27N
534,Private nonfarm wage and salary employment: Textile product mills (314),SAEMP27N
1000,Private nonfarm wage and salary employment: Finance and insurance (52),SAEMP27N
1901,Private nonfarm wage and salary employment: Repair and maintenance,SAEMP27N
1000,Private nonfarm wage and salary employment: Finance and insurance,SAEMP27N
534,Private nonfarm wage and salary employment: Textile product mills,SAEMP27N
1901,Private nonfarm wage and salary employment: Repair and maintenance (811),SAEMP27N
533,Private nonfarm wage and salary employment: Textile mills,SAEMP27N
1902,Private nonfarm wage and salary employment: Personal and laundry services (812),SAEMP27N
70,Farm wage and salary employment,SAEMP27N
1902,Private nonfarm wage and salary employment: Personal and laundry services,SAEMP27N
1001,Private nonfarm wage and salary employment: Monetary Authorities-central bank,SAEMP27N
402,Private nonfarm wage and salary employment: Heavy and civil engineering construction (237),SAEMP27N
1600,Private nonfarm wage and salary employment: Health care and social assistance,SAEMP27N
533,Private nonfarm wage and salary employment: Textile mills (313),SAEMP27N
539,Private nonfarm wage and salary employment: Petroleum and coal products manufacturing,SAEMP27N
1601,Private nonfarm wage and salary employment: Ambulatory health care services (621),SAEMP27N
1703,"Private nonfarm wage and salary employment: Amusement, gambling, and recreation industries",SAEMP27N
1703,"Private nonfarm wage and salary employment: Amusement, gambling, and recreation industries (713)",SAEMP27N
1702,"Private nonfarm wage and salary employment: Museums, historical sites, and similar institutions (712)",SAEMP27N
1702,"Private nonfarm wage and salary employment: Museums, historical sites, and similar institutions",SAEMP27N
1701,"Private nonfarm wage and salary employment: Performing arts, spectator sports, and related industries",SAEMP27N
1701,"Private nonfarm wage and salary employment: Performing arts, spectator sports, and related industries (711)",SAEMP27N
900,Private nonfarm wage and salary employment: Information (51),SAEMP27N
1700,"Private nonfarm wage and salary employment: Arts, entertainment, and recreation (71)",SAEMP27N
100,"Private nonfarm wage and salary employment: Forestry, fishing, and related activities",SAEMP27N
1700,"Private nonfarm wage and salary employment: Arts, entertainment, and recreation",SAEMP27N
90,Private nonfarm wage and salary employment,SAEMP27N
542,Private nonfarm wage and salary employment: Plastics and rubber products manufacturing (326),SAEMP27N
1800,Private nonfarm wage and salary employment: Accommodation and food services,SAEMP27N
542,Private nonfarm wage and salary employment: Plastics and rubber products manufacturing,SAEMP27N
600,Private nonfarm wage and salary employment: Wholesale trade,SAEMP27N
1800,Private nonfarm wage and salary employment: Accommodation and food services (72),SAEMP27N
1801,Private nonfarm wage and salary employment: Accommodation (721),SAEMP27N
1604,Private nonfarm wage and salary employment: Social assistance,SAEMP27N
541,Private nonfarm wage and salary employment: Chemical manufacturing,SAEMP27N
1604,Private nonfarm wage and salary employment: Social assistance (624),SAEMP27N
1801,Private nonfarm wage and salary employment: Accommodation,SAEMP27N
1603,Private nonfarm wage and salary employment: Nursing and residential care facilities (623),SAEMP27N
1603,Private nonfarm wage and salary employment: Nursing and residential care facilities,SAEMP27N
1802,Private nonfarm wage and salary employment: Food services and drinking places,SAEMP27N
1602,Private nonfarm wage and salary employment: Hospitals,SAEMP27N
541,Private nonfarm wage and salary employment: Chemical manufacturing (325),SAEMP27N
1802,Private nonfarm wage and salary employment: Food services and drinking places (722),SAEMP27N
1602,Private nonfarm wage and salary employment: Hospitals (622),SAEMP27N
403,Private nonfarm wage and salary employment: Specialty trade contractors,SAEMP27N
1601,Private nonfarm wage and salary employment: Ambulatory health care services,SAEMP27N
1903,"Private nonfarm wage and salary employment: Religious, grantmaking, civic, professional, and similar organizations",SAEMP27N
537,Private nonfarm wage and salary employment: Paper manufacturing,SAEMP27N
600,Private nonfarm wage and salary employment: Wholesale trade (42),SAEMP27N
704,Private nonfarm wage and salary employment: Building material and garden equipment and supplies dealers (444),SAEMP27N
700,Private nonfarm wage and salary employment: Retail trade (44-45),SAEMP27N
530,Private nonfarm wage and salary employment: Nondurable goods manufacturing,SAEMP27N
704,Private nonfarm wage and salary employment: Building material and garden equipment and supplies dealers,SAEMP27N
1904,Private nonfarm wage and salary employment: Private households,SAEMP27N
703,Private nonfarm wage and salary employment: Electronics and appliance stores,SAEMP27N
1001,Private nonfarm wage and salary employment: Monetary Authorities-central bank (521),SAEMP27N
1400,Private nonfarm wage and salary employment: Administrative and support and waste management and remediation services,SAEMP27N
400,Private nonfarm wage and salary employment: Construction,SAEMP27N
531,Private nonfarm wage and salary employment: Food manufacturing,SAEMP27N
402,Private nonfarm wage and salary employment: Heavy and civil engineering construction,SAEMP27N
703,Private nonfarm wage and salary employment: Electronics and appliance stores (443),SAEMP27N
700,Private nonfarm wage and salary employment: Retail trade,SAEMP27N
401,Private nonfarm wage and salary employment: Construction of buildings,SAEMP27N
702,Private nonfarm wage and salary employment: Furniture and home furnishings stores,SAEMP27N
702,Private nonfarm wage and salary employment: Furniture and home furnishings stores (442),SAEMP27N
1400,Private nonfarm wage and salary employment: Administrative and support and waste management and remediation services (56),SAEMP27N
530,"Private nonfarm wage and salary employment: Nondurable goods manufacturing (311-316,322-326)",SAEMP27N
401,Private nonfarm wage and salary employment: Construction of buildings (236),SAEMP27N
901,Private nonfarm wage and salary employment: Publishing industries (except Internet),SAEMP27N
400,Private nonfarm wage and salary employment: Construction (23),SAEMP27N
701,Private nonfarm wage and salary employment: Motor vehicle and parts dealers,SAEMP27N
531,Private nonfarm wage and salary employment: Food manufacturing (311),SAEMP27N
1401,Private nonfarm wage and salary employment: Administrative and support services,SAEMP27N
1904,Private nonfarm wage and salary employment: Private households (814),SAEMP27N
701,Private nonfarm wage and salary employment: Motor vehicle and parts dealers (441),SAEMP27N
70,Farm wage and salary employment (111-112),SAEMP27N
1402,Private nonfarm wage and salary employment: Waste management and remediation services,SAEMP27N
1903,"Private nonfarm wage and salary employment: Religious, grantmaking, civic, professional, and similar organizations (813)",SAEMP27N
1402,Private nonfarm wage and salary employment: Waste management and remediation services (562),SAEMP27N
532,Private nonfarm wage and salary employment: Beverage and tobacco product manufacturing (312),SAEMP27N
705,Private nonfarm wage and salary employment: Food and beverage stores (445),SAEMP27N
532,Private nonfarm wage and salary employment: Beverage and tobacco product manufacturing,SAEMP27N
1401,Private nonfarm wage and salary employment: Administrative and support services (561),SAEMP27N
90,Private nonfarm wage and salary employment,SAEMP27S
542,Private nonfarm wage and salary employment: Transportation by air,SAEMP27S
435,Private nonfarm wage and salary employment: Motor vehicles and equipment,SAEMP27S
453,Private nonfarm wage and salary employment: Food and kindred products (20),SAEMP27S
410,Private nonfarm wage and salary employment: Durable goods manufacturing,SAEMP27S
420,"Private nonfarm wage and salary employment: Stone, clay, and glass products",SAEMP27S
410,Private nonfarm wage and salary employment: Durable goods manufacturing,SAEMP27S
400,Private nonfarm wage and salary employment: Manufacturing,SAEMP27S
453,Private nonfarm wage and salary employment: Food and kindred products,SAEMP27S
471,Private nonfarm wage and salary employment: Chemicals and allied products (28),SAEMP27S
90,Private nonfarm wage and salary employment,SAEMP27S
543,"Private nonfarm wage and salary employment: Pipelines, except natural gas (46)",SAEMP27S
413,Private nonfarm wage and salary employment: Lumber and wood products (24),SAEMP27S
835,Private nonfarm wage and salary employment: Amusement and recreation services,SAEMP27S
542,Private nonfarm wage and salary employment: Transportation by air (45),SAEMP27S
462,Private nonfarm wage and salary employment: Apparel and other textile products (23),SAEMP27S
441,Private nonfarm wage and salary employment: Instruments and related products,SAEMP27S
805,Private nonfarm wage and salary employment: Hotels and other lodging places,SAEMP27S
423,Private nonfarm wage and salary employment: Primary metal industries,SAEMP27S
400,Private nonfarm wage and salary employment: Manufacturing (D),SAEMP27S
444,Private nonfarm wage and salary employment: Miscellaneous manufacturing industries (39),SAEMP27S
840,Private nonfarm wage and salary employment: Motion pictures,SAEMP27S
450,Private nonfarm wage and salary employment: Nondurable goods manufacturing,SAEMP27S
423,Private nonfarm wage and salary employment: Primary metal industries (33),SAEMP27S
